,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
40,leeleahl,"Let’s say they come up with a COVID vaccine (that most likely won’t work, just like the flu shot was 12% effective last year) then what? Will we all be forced to get it to go out into public. What if we refuse?",2020-06-29 21:33:21+00:00,0.0,0.0,,,covid
41,watergatesummer,Thanks for what you said...yes...was laid off day three of Covid...and not paid the two weeks they were supposed to pay ...it was a mess...and horrible.... especially as I got sick due to inadequate PPE...,2020-06-29 21:33:04+00:00,0.0,1.0,,,covid
42,cjriveralopez,Aquí mi entrada de esta semana. Covid-19 mejor conocido el Coronavirus. El 2020 nos vino a cambiar la vida y solo vamos por la mitad del año. Gracias por siempre leerme XO CJ *Recuerda subo material todo los Lunes* #CjBlog #MondayBlog #VidaDeOso http://cjriveralopez.blogspot.com/2020/06/la-pandemia-y-sus-efectos.html,2020-06-29 21:30:30+00:00,0.0,2.0,,#CjBlog #MondayBlog #VidaDeOso,covid
43,mackmckelvey,Plus COVID cases spiking in dozens of states?!,2020-06-29 21:28:51+00:00,0.0,0.0,,,covid
44,dallasmom53,I’m watching @TheFive and @dbongino is right @NYGovCuomo SUCKS! #Covid_19,2020-06-29 21:28:19+00:00,0.0,2.0,@TheFive @dbongino @NYGovCuomo,#Covid_19,covid
45,maschiofood,Thank you to Hubert Street Elementary for the sweet thank you notes for Maschio’s Patti DeLeo and team We will miss you too! Have a great summer! We are in this together. #foodservice #essentialworkers #heroes #foodserviceworkers #remotelearning #covid_19 #socialdistance,2020-06-29 21:11:58+00:00,0.0,3.0,,#foodservice #essentialworkers #heroes #foodserviceworkers #remotelearning #covid_19 #socialdistance,covid
46,Danno2430,when you’re on a work call with a covid conspiracy theorist ,2020-06-29 21:06:14+00:00,0.0,4.0,,,covid
47,bonnie_tucker,"If you care so much, do something about the increasing COVID cases and deaths. You can’t care about the fetus in the womb but not once it is born.",2020-06-29 20:58:46+00:00,0.0,0.0,,,covid
48,Kizzbeth,"I’m several days behind on my #bloomsnblossoms too. #friendsofinstagram pawsome_pupstars #community #neighborhood #plantlife #walkingthedog #brooklyn #covid_19 @Brooklyn, New York https://www.instagram.com/p/CCCHPBNpm5s/?igshid=zb5fgqmgp2lv",2020-06-29 20:50:01+00:00,0.0,0.0,,#bloomsnblossoms #friendsofinstagram #community #neighborhood #plantlife #walkingthedog #brooklyn #covid_19,covid
49,BrianNido,"Soo... I started a new job today! After nearly 4.5 years at my previous company, it was time for a change. I didn’t know what to expect looking/starting a new job during #COVID but I have been thoroughly impressed… https://www.instagram.com/p/CCCGBK2hYoJ/?igshid=1sniztl112juf",2020-06-29 20:39:22+00:00,0.0,3.0,,#COVID,covid
50,AmBeautifulShow,#COVID19 #coronavirus #COVIDIOTS #COVID #TexasCOVID #PutinsGOP #TraitorTrashTrump #ripdonaldtrump #RussianAsset #riptrump #MoscowMitch killed Americans w lying about #pandemic &amp; #RussianBounty https://twitter.com/CNBC/status/1277700998052687872,2020-06-29 20:37:17+00:00,0.0,0.0,,#COVID19 #coronavirus #COVIDIOTS #COVID #TexasCOVID #PutinsGOP #TraitorTrashTrump #ripdonaldtrump #RussianAsset #riptrump #MoscowMitch #pandemic #RussianBounty,covid
51,gracepap,@newyorklottery hi. I have a mobile win from the app that expires tomorrow but nobody will let me get my win due to Covid. Can you extend expiration dates?,2020-06-29 20:35:12+00:00,0.0,0.0,@newyorklottery,,covid
52,ssourgrapess,what’s this i hear about being less susceptible to covid if you have an O blood type?,2020-06-29 20:30:42+00:00,0.0,1.0,,,covid
53,AmBeautifulShow,And 130k dead Americans from #COVID #MoscowMitch &amp; #PutinsGOP are the destroyers of America by serving #TraitorTrashTrump instead of their oath to the USA &amp; our #Constitution &amp; our American people &amp; US interests! #ripdonaldtrump 42 million unemployed &amp; bankrupt because of you. https://twitter.com/IAmDawnM/status/1277573446675955712,2020-06-29 20:28:13+00:00,1.0,1.0,,#COVID #MoscowMitch #PutinsGOP #TraitorTrashTrump #Constitution #ripdonaldtrump,covid
54,jumbleez,"Ladies, that covid weight lookin good on y’all. ..",2020-06-29 20:26:30+00:00,0.0,0.0,,,covid
55,A1__Frank,"Since the beginning the mask isn’t guaranteed that you won’t get COVID. The chases of you getting it is lower with the mask. I never wear a mask and thankfully I been COVID free. I say you wash your hands frequently, do not touch your face, and stay away from larger crowds ",2020-06-29 20:21:50+00:00,0.0,0.0,,,covid
56,JaroG4,It should come as zero surprise that Americans are completely exhausted going into this 4th of July holiday. If we ever collectively needed time off it would have been weeks ago. And this isn’t even counting the social movements that have arisen as a result of COVID-19,2020-06-29 20:20:09+00:00,0.0,3.0,,,covid
57,MarkOldman,"since the pandemic doesn't seem to be going away, I am resorting back to the vampirical solution: mountains of beautiful garlic , roasted . Take that, Covid. . #garlic #roastedgarlic #Gilroy #selfisolation #virus #vampire #QuarantineLife",2020-06-29 20:19:29+00:00,0.0,4.0,,#garlic #roastedgarlic #Gilroy #selfisolation #virus #vampire #QuarantineLife,covid
58,AmBeautifulShow,"Wow, #GrimReaper #MoscowMitch waited until nearly 130k Americans dead from #COVID19, over 2 million sickened with #Covid_19 - to stop lying about wearing masks and #COVID NOT BEING A HOAX. How foul a human being do you have to be to cause that much harm to people's lives &amp; USA? ",2020-06-29 20:13:12+00:00,0.0,0.0,,#GrimReaper #MoscowMitch #COVID19 #Covid_19 #COVID,covid
59,NeiasNmore,Sad to see the city this empty. . . . #coronavirus #corona #virus #isolation #COVID19 #emptystreets #emptynyc #nycshutdown #quarantine #quarantinelife #staysafe #covid_19 #stayhome #quedateencasa #staypositive… https://www.instagram.com/p/CCCCz4tjSla/?igshid=1vevcas6gcwqz,2020-06-29 20:11:22+00:00,0.0,0.0,,#coronavirus #corona #virus #isolation #COVID19 #emptystreets #emptynyc #nycshutdown #quarantine #quarantinelife #staysafe #covid_19 #stayhome #stayhome #quedateencasa #quedateencasa #staypositive,covid
60,oscmart,"Looking at this map @NYGovCuomo @GovMurphy and @GovNedLamont should make mandatory check ups at all entry points in the tri-state area. It’s taken us countless days of isolation, adaptation and solidarity that the least thing I’d like to see is numbers rise again. COVID survivor.",2020-06-29 20:05:37+00:00,0.0,6.0,@NYGovCuomo @GovMurphy @GovNedLamont,,covid
61,DenisGorman,"“We are calling summer 2020 ‘The COVID Cash Grab!’”—Gary Bettman, Rob Manfred, and Adam Silver, at a still to be determined point.",2020-06-29 20:03:34+00:00,0.0,0.0,,,covid
62,xlPSRlx,And both are dumb enough to risk covid again. I said Wht I said. ,2020-06-29 19:58:32+00:00,0.0,1.0,,,covid
63,AmBeautifulShow,#COVID #COVIDIOTS #Covid_19 #COVID19 #coronavirus @business @CNBCnow @businessinsider,2020-06-29 19:58:03+00:00,0.0,0.0,@business @CNBCnow @businessinsider,#COVID #COVIDIOTS #Covid_19 #COVID19 #coronavirus,covid
64,eboland11,"“MLB Summer Camp Presented by Camping World...and COVID-19 — you know, the cause of a still-deadly worldwide pandemic and the reason we’re doing spring training in the summer at major league ballparks.” There, fixed it.",2020-06-29 19:56:53+00:00,5.0,26.0,,,covid
65,brandeyeview,"@NYGovCuomo so now that Florida is having an outbreak, do you think all the people that left NY for Florida are coming back? Wouldn’t it make sense to mandate a Covid-19 test result within 24 hours of returning rather than a soft 14-day quarantine? @NYCMayor @nypost @nytimes",2020-06-29 19:55:17+00:00,0.0,4.0,@NYGovCuomo @NYCMayor @nypost @nytimes,,covid
66,SteinwayAstoria,@NYC_SBS Updates: COVID-19 Guidance for Small Businesses Below are the links mentioned: •https://www1.nyc.gov/assets/coronavirus/downloads/phase3/personal-care-services.pdf •https://www1.nyc.gov/assets/coronavirus/downloads/phase3/indoor-dining.pdf •http://nycsmallbizcourses.eventbrite.com •https://www1.nyc.gov/html/dot/html/pedestrians/openrestaurants.shtml •https://www1.nyc.gov/html/dot/images/pedestrians/open-restaurants-application-detailed-specs.jpg •https://www1.nyc.gov/html/dot/html/pedestrians/openrestaurants.shtml •http://nyc.gov/coronavirus,2020-06-29 19:47:38+00:00,0.0,1.0,@NYC_SBS,,covid
67,robmiraglia,"Renters subsidizing other renters isn’t a sustainable inclusionary housing plan, particularly in post-COVID NYC. Permanent &amp; sustainable affordable housing requires long term land use/zoning planning, ongoing community (re)investment, &amp; aggressive biz/job development &amp; creation.",2020-06-29 19:46:35+00:00,0.0,0.0,,,covid
68,gntlmnking,So my COVID test results came back... it’s negative. Another test next week.,2020-06-29 19:39:08+00:00,0.0,9.0,,,covid
69,librajiminez,"I went to Rite Aide, food emporium Gristedes and 7-Eleven... None accepts bottles or cans returns anymore except rite aid who says they don't accept it because covid-19. ",2020-06-29 19:32:34+00:00,0.0,0.0,,,covid
70,AmBeautifulShow,#coronavirus #COVID #COVID19 then we should own the drug.,2020-06-29 19:31:10+00:00,0.0,0.0,,#coronavirus #COVID #COVID19,covid
71,natalia13reagan,"So I posted this comment: I ask this with all due respect- where are the masks? COVID-19 isn’t over &amp; we’re still seeing spikes throughout the country (including NY state). Again, I say this as a scientist &amp; out of genuine concern. You all look amazing &amp; I want you to stay safe!",2020-06-29 19:30:14+00:00,1.0,8.0,,,covid
72,Jose_Stacks,"She blocked me over a covid 19 debate ?? Lmfaooo you cant be serious , pretty disgusting how quick ppl are to block ppl with simple differences in opinion ",2020-06-29 19:28:54+00:00,0.0,0.0,,,covid
73,badboybmar,"And in a WILD turn of events, attractive men are matching with me, and actually holding conversations? COVID really done fucked with the game",2020-06-29 19:22:10+00:00,0.0,17.0,,,covid
74,yoomarscomin,It’s representative of the covid-19 curve. Mind you yesterday we the ratio of community spread crept over 1 again so we have viral spread in the state but yeah sure make a papier-mache mountain,2020-06-29 19:21:24+00:00,0.0,0.0,,,covid
