,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
912,nicokwanart,Our #masks made by our girl Tamara finally came yesterday!!! Thanks lady!!!! Now we can go out in style! #masksofcovid #facemask #quarantine #staysafe #stayhealthy #shiptoshore #handmade #covid_19 #coronacation… https://www.instagram.com/p/CAsoMWqDm14/?igshid=jcfsyxvh0jg5,2020-05-27 16:03:19+00:00,0.0,0.0,,#masks #masksofcovid #facemask #quarantine #staysafe #stayhealthy #shiptoshore #handmade #covid_19 #coronacation,covid
913,fosterhood,A piece on @NYCSchools Enrichment Centers which have saved me while my work has ramped up during Covid. ,2020-05-27 16:00:26+00:00,0.0,17.0,@NYCSchools,,covid
914,GerardAraud,"Le docteur Fauci, directeur du National Institute of Allergy and Infectious Diseases, a officiellement confirmé que les Etats-Unis ne considéraient pas la #chloroquine un traitement efficace contre le #Covid_19",2020-05-27 15:51:41+00:00,104.0,219.0,,#chloroquine #Covid_19,covid
915,sircastro3,I haven’t watched any of my anime shows because of COVID,2020-05-27 15:46:29+00:00,0.0,0.0,,,covid
916,flycarla,"New Podcast!! The Fly Girl Guide to a COVID-19 Glow Up: Interview with Joanna Jane, Financial Coach &amp; Real Estate Investor Have a listen as we talk: having a spiritual mindset to finances/ stimulus check spending/getting a tribe together to buy a block http://ow.ly/yogB50zQPwP",2020-05-27 15:41:59+00:00,0.0,0.0,,,covid
917,flashphotog15,@verizonfios i know due to covid you guys have slowed down home installs but i really wanna cut this lousey @optimum off before the bill me for a new cycle. Can i get someone to just come and install the ONT box i need???,2020-05-27 15:41:55+00:00,0.0,1.0,@verizonfios @optimum,,covid
918,dallasmom53,Why was the March 25th Executive Order Cuomo signed to have COVID patients readmitted to nursing homes removed from NYS Coronavirus site? #NursingHomeSlaughter,2020-05-27 15:40:53+00:00,2.0,5.0,,#NursingHomeSlaughter,covid
919,ColumbiaEM,"Dr. Danny Lugassy @toxdanny of @ToxNyu delivering @NYEmergency grand rounds on Medicare for All: Needed Before, During and After #Covid_19 @NYUEMChiefs – at New York-Presbyterian Hospital",2020-05-27 15:39:19+00:00,3.0,13.0,@toxdanny @ToxNyu @NYEmergency @NYUEMChiefs,#Covid_19,covid
920,TheEliKlein,If you believe that a credible doctor is diagnosing Covid-19 positive after 5 negative tests then I have a bridge to sell you,2020-05-27 15:29:03+00:00,0.0,0.0,,,covid
921,GypsyRN212," Coronavirus updates: COVID-19 cases among US health care workers top 62,000 - ABC News ",2020-05-27 15:19:35+00:00,0.0,3.0,,,covid
922,Kizzbeth,"#bloomsnblossoms #friendsofinstagram pawsome_pupstars #community #neighborhood #plantlife #art #fightwithart #walkingthedog #brooklyn #covid_19 @Brooklyn, New York https://www.instagram.com/p/CAshXSjnFb4/?igshid=jjeetebbzvpe",2020-05-27 15:03:39+00:00,0.0,0.0,,#bloomsnblossoms #friendsofinstagram #community #neighborhood #plantlife #art #fightwithart #walkingthedog #brooklyn #covid_19,covid
923,TheEliKlein,"For most people danger posed by Covid-19 is not more than risks in everyday life. If you’re under 45 or under 65 and healthy, your main covid-related worry should be transmitting virus to vulnerable people. Huge problem now is the least vulnerable demographic are the most afraid. ",2020-05-27 15:00:23+00:00,0.0,0.0,,,covid
924,joe_nicolass,"In reality COVID in scale to things such as war or famine was far less severe and yet people in this country have shown such an ugly side of themselves. We could never survive something worse than this, I wouldn’t even want to imagine the ugliness that could come out of people.",2020-05-27 15:00:22+00:00,1.0,13.0,,,covid
925,Fernand49581643,"Mr. President. The Chinese is maneuvering their planes very close and very low to our Ships, in the South China Sea. They are also taring down Cristian churches, and killing thousands of Cristian and I'm not gonna mention the Covid-19 these MF are causing trouble. Bad people.",2020-05-27 14:57:51+00:00,0.0,0.0,,,covid
926,GiovanniEPagan,Puerto Rico tiene una oportunidad en medio de esta crisis de exigir que se nos trate justamente en las legislaciones federales en respuesta al COVID. Tenemos que exigir que se incluya una cancelación de la deuda de PR en el paquete de estímulo estatal que considera el Congreso.,2020-05-27 14:56:29+00:00,0.0,1.0,,,covid
927,HengeStoneGal,The question is! Where did he want to export COVID- 19 to? COVID has no export value... Importing it has been costly in terms of life and treasure. ,2020-05-27 14:50:09+00:00,0.0,0.0,,,covid
928,NYCPhotoUES,Today’s mug. #butfirstcoffee #coffee #opinion #covid19 #covid_19 #stayhome #stayhealthy #coveryourface #washyourhandsyoufilthyanimal _ _ _. _. _. #instagramnyc #instanyc #picoftheday #2020photoproject #2020… https://www.instagram.com/p/CAse2sSJKA_/?igshid=8qqrrcf6hlmc,2020-05-27 14:41:43+00:00,0.0,0.0,,#butfirstcoffee #coffee #opinion #covid19 #covid_19 #stayhome #stayhome #stayhealthy #coveryourface #washyourhandsyoufilthyanimal #instagramnyc #instanyc #picoftheday #2020photoproject,covid
929,PO66132234,"Hollywood producer arrested for stealing $1.7M in COVID-19 relief funds, embezzling $25M for Beverly Hills mansion ",2020-05-27 14:37:58+00:00,0.0,0.0,,,covid
930,CaptainClinical,"Delighted to have a new publication date for my book, The Patient Equation: August 4th, 2020! Includes new material on COVID-19 (not that anyone got to see the old material, but delay allowed for additions and revisions). https://www.amazon.com/dp/111962214X/ref=cm_sw_r_tw_dp_U_x_SINZEbSTQ4786 @Medidata @Dassault3DS",2020-05-27 14:31:15+00:00,8.0,67.0,@Medidata @Dassault3DS,,covid
931,mb_storey,"Everyone will tell you, @BarackObama is a Giant compared to you. Ebola killed TWO Covid-19 will kill 500,000 All because you ignored Pandemic Response Playbook &amp; fired China based US virologists taxpayers PAID FOR. Bleach? Hydroxycloroquine? No-Masks? Insulin? Jackass!",2020-05-27 14:23:15+00:00,0.0,0.0,@BarackObama,,covid
932,Sayonical,I can't imagine having roommates during this pandemic. Everybody's cleanliness standards or even belief in the seriousness of covid-19 differs. it'd be a concern if my roommate didn't care.,2020-05-27 14:22:32+00:00,0.0,1.0,,,covid
